"MESSAGEID","COMMUNICATIONSOURCE","VENDORCODE","MUNETWORKID","NUMERATOR","STATUS","TIME","MESSAGETYPE","MESSAGESOURCE","GPSCONNECTION","OPERATIONMODE","EVENTCODE","DISTRESS","IGNITION","SHOCK","DOOR","OUTGPSPOWER","OUTGRADSTOP","OUTSIRENCONTROL","OUTDOORUNLOCK","OUTIMMOBILIZER","OUTDOORLOCK","OUTBLINKERCONTROL","OUTINTERNALLIGHTS","MAINSUPPLYVOLTAGE","BACKUPBATTERYVOLTAGE","MAINPOWERREGULATEDVOLTAGE","ANALOGVOLTAGE","DISTANCE","DALLASCODE","LASTGPSFIX","GPSNUMBEROFSATELLITESUSED","GPSLONGITUDE","GPSLATITUDE","GPSALTITUDE","GPSGROUNDSPEED","SPEEDDIRECTION","HWVERSION","SWVERSION","SWPROTOCOLVERSIONIDENT","MESSAGE","INPUTA","INPUTB","MESSAGEFROMMEMORY","GSMOPERATORCODE"
"2881242805","G","DT465","2027604","162","R","2015-12-17 14:40:13.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.897999763489","NULL","NULL","NULL","475065","NULL","2015-12-17 14:40:13.000","12","32.771640777588","39.963382720947","871.90002441406","0","3.246312379837","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242806","S","DT20N","1058221","133","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.729571342468","0","0","0","721101","0","2015-12-17 14:40:00.000","8","32.491592407227","37.887092590332","1023.1599731445","16.127998352051","3.2090001106262","221","31","z","NULL","A","I","F","28602"
"2881242807","G","DT465","2025960","36","R","2015-12-17 14:40:14.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14.637999534607","0","NULL","NULL","148707","NULL","2015-12-17 14:40:14.000","12","28.783334732056","37.951984405518","148.30000305176","88.5","1.8151423931122","33","33025","q","NULL","NULL","NULL","NULL","28602"
"2881242808","S","DT20N","1014044","103","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.851303100586","0","0","0","1355745","0","2015-12-17 14:40:00.000","8","27.656517028809","37.240215301514","-2.7300000190735","20.699998855591","3.260999917984","221","31","o","NULL","A","I","F","28601"
"2881242809","S","DT90C","797413","11","R","2015-12-17 14:40:14.000","G","1","C","0","44","I","A","A","A","I","I","I","I","I","I","I","I","13.512251853943","2.0407757759094","3.9453125","0","4612760","0","2015-12-17 14:40:00.000","9","27.250217437744","40.239532470703","20.789999008179","77.975997924805","4.4569997787476","113","29","d","NULL","I","I","F","28601"
"2881242810","S","DT20N","1053180","23","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.729571342468","0","0","0","1033444","0","2015-12-17 14:40:00.000","7","27.169919967651","38.424865722656","39.48999786377","0","2.6099998950958","221","31","z","NULL","A","I","F","28602"
"2881242811","S","DT20N","1025540","138","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.851303100586","0","0","0","3640407","0","2015-12-17 14:40:00.000","9","38.875743865967","38.586193084717","1466.1500244141","98.027992248535","1.152999997139","221","31","n","NULL","A","I","F","28601"
"2881242812","G","DT465","2028606","103","R","2015-12-17 14:40:14.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14.045000076294","NULL","NULL","NULL","466747","NULL","2015-12-17 14:40:14.000","12","32.720531463623","39.909290313721","858.79998779297","92.099998474121","2.0594885349274","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242813","S","DT20N","754560","45","R","2015-12-17 14:40:03.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.486107826233","0","0","0","447658","0","2015-12-17 14:40:00.000","7","29.105480194092","41.006896972656","44.139999389648","48.455997467041","2.680999994278","221","31","z","NULL","A","I","F","28602"
"2881242814","S","DT20N","495187","234","R","2015-12-17 14:40:14.000","G","1","C","0","100","A","A","A","I","I","I","I","I","I","I","I","I","14.729571342468","0","0","0","908331","0","2015-12-17 14:40:00.000","7","27.253847122192","38.464126586914","86.009994506836","2.1599998474121","2.8989999294281","221","31","d","NULL","A","I","F","28601"
"2881242815","S","DT90F","786146","86","R","2015-12-17 14:40:09.000","G","1","C","NULL","1043","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9","27.07479095459","40.366088867188","16","44.387996673584","0.046999998390675","NULL","NULL","NULL","sensor(id=20;value=1220),sensor(id=17;value=0),sensor(id=11;value=43),sensor(id=25;value=88),sensor(id=19;value=98)","I","I","F","NULL"
"2881242817","G","DT465","2027515","219","R","2015-12-17 14:40:14.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.895999908447","NULL","NULL","NULL","469313","NULL","2015-12-17 14:40:14.000","12","32.78394317627","39.913227081299","869.40002441406","21.700000762939","1.5707963705063","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242818","S","DT900","41768","218","R","2015-12-17 14:40:13.000","G","1","C","0","35","I","A","A","A","I","I","I","I","I","I","I","I","28.363555908203","0","3.84765625","0","219588","0","2015-12-17 14:40:00.000","8","30.665525436401","36.915119171143","95.729995727539","0","0","4","22","a","NULL","I","I","F","NULL"
"2881242819","S","DT20N","1028582","120","R","2015-12-17 14:40:15.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","29.337411880493","0","0","0","1645993","6A1AEAAEBAFD","2015-12-17 14:40:00.000","8","27.370464324951","38.614543914795","94.470001220703","12.059999465942","4.3759999275208","221","31","n","NULL","A","A","F","28601"
"2881242820","S","DT20N","1072621","203","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.607839584351","0","0","0","475403","0","2015-12-17 14:40:00.000","8","29.237186431885","40.88207244873","17.779998779297","18.071998596191","5.1139998435974","221","31","z","NULL","A","I","F","28602"
"2881242821","S","DT20N","1071816","55","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","I","I","I","I","I","I","I","I","I","I","15.094767570496","0","0","0","271917","0","2015-12-17 14:40:00.000","7","29.012479782104","41.006401062012","3.2300000190735","47.303997039795","5.3220000267029","221","31","z","NULL","A","I","F","28602"
"2881242822","G","DT465","2021192","117","R","2015-12-17 14:40:15.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.944000244141","NULL","NULL","NULL","167063","NULL","2015-12-17 14:40:15.000","12","32.848636627197","39.980865478516","921.59997558594","5.0999999046326","3.9793508052826","33","33028","q","NULL","NULL","NULL","NULL","28601"
"2881242823","S","DT90C","722401","186","R","2015-12-17 14:40:14.000","G","1","C","0","36","I","A","A","A","I","I","I","I","I","I","I","I","27.633163452148","1.8983960151672","3.84765625","0","1828280","0","2015-12-17 14:40:00.000","9","34.635608673096","36.872592926025","133.4700012207","78.623992919922","2.6040000915527","113","29","d","NULL","I","I","F","28601"
"2881242824","G","DT465","2027058","236","R","2015-12-17 14:40:15.000","G","1","C","NULL","204","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14.08899974823","NULL","NULL","NULL","123525","NULL","2015-12-17 14:40:15.000","12","29.481742858887","40.80341720581","164.19999694824","9.5","2.7925267219544","33","33028","q","NULL","NULL","NULL","NULL","28601"
"2881242825","S","DT20N","1059146","209","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","28.363555908203","0","0","0","362960","0","2015-12-17 14:40:00.000","7","27.695466995239","38.493309020996","96.669998168945","3.635999917984","2.1849999427795","221","31","z","NULL","A","I","F","28601"
"2881242826","S","DT20N","1064088","244","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.486107826233","0","0","0","181705","0","2015-12-17 14:40:00.000","8","28.936765670776","40.21968460083","66.569999694824","43.163997650146","0.31999999284744","221","31","z","NULL","A","I","F","28603"
"2881242827","S","DT20N","1040275","250","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.364376068115","0","0","0","249953","0","2015-12-17 14:40:00.000","9","35.312229156494","37.029029846191","82.019996643066","0","1.4570000171661","221","31","o","NULL","A","I","F","28601"
"2881242828","S","DT20N","1123508","74","R","2015-12-17 14:40:15.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","13.755715370178","0","0","0","216954","0","2015-12-17 14:40:00.000","9","27.834815979004","38.934688568115","105.05999755859","28.187999725342","3.2760000228882","221","32","k","NULL","A","I","F","28601"
"2881242829","G","DT465","2022151","61","R","2015-12-17 14:40:14.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.767000198364","0","NULL","NULL","313180","NULL","2015-12-17 14:40:14.000","12","36.92342376709","41.175441741943","1.5","0","3.857177734375","33","33025","q","NULL","NULL","NULL","NULL","28602"
"2881242830","S","DT20N","720398","235","R","2015-12-17 14:40:15.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","13.877447128296","0","0","0","177698","0","2015-12-17 14:40:00.000","8","29.090106964111","40.965671539307","51.829998016357","17.567998886108","3.7709999084473","221","32","k","NULL","A","I","F","28602"
"2881242831","G","DT465","2029453","19","R","2015-12-17 14:40:14.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.83899974823","NULL","NULL","NULL","416297","NULL","2015-12-17 14:40:14.000","12","32.958763122559","40.077289581299","923.59997558594","95","1.1868238449097","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242832","S","DT20N","720290","116","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.729571342468","0","0","0","122994","0","2015-12-17 14:40:00.000","9","29.175424575806","40.904273986816","52.869998931885","25.95599937439","3.5490000247955","221","32","k","NULL","A","I","F","28601"
"2881242833","S","DT20N","1080415","68","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.486107826233","0","0","0","468840","0","2015-12-17 14:40:00.000","8","30.796754837036","36.862258911133","65.799995422363","0","3.0699999332428","221","31","z","NULL","A","I","F","28602"
"2881242834","G","DT465","2028896","134","R","2015-12-17 14:40:12.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.270000457764","NULL","NULL","NULL","486713","NULL","2015-12-17 14:40:12.000","12","32.776039123535","39.931652069092","838.70001220703","88","6.1784653663635","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242835","S","DT900","191587","100","R","2015-12-17 14:40:13.000","G","1","C","0","44","I","A","A","A","I","I","I","I","I","I","I","I","14.242643356323","0.14237970113754","3.90625","0.8984375","2519705","0","2015-12-17 14:40:00.000","9","26.798448562622","39.220737457275","17.420000076294","109.69199371338","2.0550000667572","37","25","j","NULL","A","A","F","NULL"
"2881242836","G","DT465","2028032","74","R","2015-12-17 14:40:15.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.567000389099","NULL","NULL","NULL","418977","NULL","2015-12-17 14:40:15.000","12","32.776050567627","39.912220001221","866.79998779297","44.29999923706","0.99483770132065","33","33028","q","NULL","NULL","NULL","NULL","28602"
