"MESSAGEID","COMMUNICATIONSOURCE","VENDORCODE","MUNETWORKID","NUMERATOR","STATUS","TIME","MESSAGETYPE","MESSAGESOURCE","GPSCONNECTION","OPERATIONMODE","EVENTCODE","DISTRESS","IGNITION","SHOCK","DOOR","OUTGPSPOWER","OUTGRADSTOP","OUTSIRENCONTROL","OUTDOORUNLOCK","OUTIMMOBILIZER","OUTDOORLOCK","OUTBLINKERCONTROL","OUTINTERNALLIGHTS","MAINSUPPLYVOLTAGE","BACKUPBATTERYVOLTAGE","MAINPOWERREGULATEDVOLTAGE","ANALOGVOLTAGE","DISTANCE","DALLASCODE","LASTGPSFIX","GPSNUMBEROFSATELLITESUSED","GPSLONGITUDE","GPSLATITUDE","GPSALTITUDE","GPSGROUNDSPEED","SPEEDDIRECTION","HWVERSION","SWVERSION","SWPROTOCOLVERSIONIDENT","MESSAGE","INPUTA","INPUTB","MESSAGEFROMMEMORY","GSMOPERATORCODE"
"2881242853","S","DT20N","1085980","183","R","2015-12-17 14:40:14.000","G","1","C","1","65","A","I","I","I","I","I","I","I","I","I","I","I","26.294111251831","0","0","0","43358","0","2015-12-17 14:40:00.000","9","43.52596282959","40.078628540039","1551.8800048828","0","0.53500002622604","221","31","z","NULL","A","I","T","28601"
"2881242854","S","DT20N","1060219","246","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","29.215679168701","0","0","0","1434214","0","2015-12-17 14:40:00.000","8","27.244579315186","38.43851852417","38.829998016357","3.9959998130798","6.106999874115","221","31","z","NULL","A","I","F","28601"
"2881242855","S","DT20N","1062862","168","R","2015-12-17 14:40:14.000","G","1","C","0","36","A","A","A","I","I","I","I","I","I","I","I","I","14.729571342468","0","0","0","807021","0","2015-12-17 14:40:00.000","8","32.721374511719","39.962726593018","854.19000244141","40.931999206543","6.2109999656677","221","31","z","NULL","A","I","F","28601"
"2881242856","S","DT20N","688645","24","R","2015-12-17 14:40:15.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.607839584351","0","0","0","917865","0","2015-12-17 14:40:00.000","8","27.245553970337","38.262836456299","162.4700012207","97.163993835449","2.5150001049042","221","31","z","NULL","A","I","F","28601"
"2881242857","G","DT465","2026913","130","R","2015-12-17 14:40:14.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.947999954224","NULL","NULL","NULL","471573","NULL","2015-12-17 14:40:14.000","12","32.78715133667","39.904376983643","879.20001220703","63.599998474121","2.6354472637177","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242858","S","DT20N","1066816","5","R","2015-12-17 14:40:14.000","G","1","C","0","35","A","A","A","I","I","I","I","I","I","I","I","I","13.512251853943","0","0","0","246840","0","2015-12-17 14:40:00.000","6","37.33084487915","37.070831298828","888.59997558594","0","1.8530000448227","221","31","z","NULL","A","I","F","28601"
"2881242859","S","DT20N","1071529","171","R","2015-12-17 14:40:14.000","G","1","C","0","44","I","A","A","I","I","I","I","I","I","I","I","I","28.241823196411","0","0","0","445410","0","2015-12-17 14:40:00.000","8","29.273550033569","40.878898620605","55.459999084473","6.1199998855591","4.5859999656677","221","31","z","NULL","A","I","F","28602"
"2881242860","S","DT20N","1061081","171","R","2015-12-17 14:40:13.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","29.093946456909","0","0","0","2235896","0","2015-12-17 14:40:00.000","9","35.135929107666","36.985652923584","25.510000228882","0","5.9800000190735","221","31","z","NULL","A","I","F","28601"
"2881242861","S","DT20T","1334695","228","R","12/17/2015 14:38","G","1","C","0","1","I","A","NULL","NULL","A","NULL","I","NULL","I","NULL","NULL","NULL","11.748000144958","NULL","NULL","NULL","0","NULL","NULL","8","36.747627258301","34.531349182129","23","0","260","NULL","NULL","NULL","io(speed=0;move=1;hdop=1.7)","NULL","NULL","NULL","28601"
"2881242863","S","DT90F","786245","36","R","2015-12-17 14:40:14.000","G","1","C","0","43","I","A","A","A","I","I","I","I","I","I","I","I","28","0","70.00700378418","0","1082782","0","2015-12-17 14:40:00.000","9","27.980443954468","40.335441589355","51.309997558594","13.715999603272","5.7059998512268","216","31","p","NULL","A","A","F","28601"
"2881242864","S","DT20T","1334695","229","R","12/17/2015 14:39","G","1","C","0","0","I","A","NULL","NULL","A","NULL","I","NULL","I","NULL","NULL","NULL","13.192999839783","NULL","NULL","NULL","424","NULL","NULL","7","36.745555877685","34.528228759766","24","15","143","NULL","NULL","NULL","io(speed=5;move=1;hdop=1.9)","NULL","NULL","NULL","28601"
"2881242865","S","DT200","193294","113","R","2015-12-17 14:40:14.000","G","1","C","0","43","I","A","A","A","I","I","I","I","I","I","I","I","0","0","0","0","2024137","0","2015-12-17 14:40:00.000","9","29.483833312988","40.680423736572","168.98999023438","12.563999176025","5.5760002136231","109","27","c","NULL","I","I","F","0"
